Date,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,MA_7_Confirmed,MA_14_Confirmed,Mortality_Rate,Recovery_Rate,Active_Rate,Growth_Rate,Growth_Rate_MA
2022-07-28,43979730,526258,0,43453472,20409.0,46.0,0.0,18664.85714285714,18736.35714285714,1.1965921573415754,0.0,98.80340784265842,0.30256301077391523,0.3120320637684034
2022-07-29,44000138,526312,0,43473826,20408.0,54.0,0.0,18508.285714285714,18608.785714285714,1.1961598847712704,0.0,98.80384011522872,0.3001289582067912,0.3096935639277376
2022-07-30,44019811,526357,0,43493454,19673.0,45.0,0.0,18340.0,18465.571428571428,1.1957275327692798,0.0,98.80427246723073,0.29860951854296935,0.30724052095293225
2022-07-31,44036275,526396,0,43509879,16464.0,39.0,0.0,18245.14285714286,18353.85714285714,1.19536904517923,0.0,98.80463095482077,0.2975792097326124,0.30468026763060657
2022-08-01,44050009,526430,0,43523579,13734.0,34.0,0.0,18265.428571428572,17149.14285714286,1.1950735356262925,0.0,98.80492646437371,0.2949833097114496,0.3019929026858881
2022-08-02,44067144,526477,0,43540667,17135.0,47.0,0.0,18122.285714285714,18157.071428571428,1.1947155005098584,0.0,98.80528449949014,0.2921793612583157,0.2990228478468352
2022-08-03,44087037,526530,0,43560507,19893.0,53.0,0.0,17985.428571428572,17995.214285714286,1.1942966364466725,0.0,98.80570336355333,0.2905322400225341,0.2966536583212268
2022-08-04,44107588,526600,0,43580988,20551.0,70.0,0.0,15633.42857142857,17691.071428571428,1.1938988819792187,0.0,98.80610111802078,0.2907202931896169,0.2949618415234699
2022-08-05,44126994,526649,0,43600345,19406.0,49.0,0.0,17805.85714285714,17416.214285714286,1.1934848768533837,0.0,98.80651512314662,0.2883081866697834,0.29327315987532593
2022-08-06,44145709,526689,0,43619020,18715.0,40.0,0.0,17650.428571428572,17088.14285714286,1.1930695234728248,0.0,98.80693047652717,0.28600304531065657,0.29147223512785264
2022-08-07,44145709,526689,0,43619020,0.0,0.0,0.0,17137.0,16689.5,1.1930695234728248,0.0,98.80693047652717,0.2485087578365741,0.28446217057127576
2022-08-08,44174650,526772,0,43647878,28941.0,83.0,0.0,16567.0,16579.0,1.192475775133476,0.0,98.80752422486653,0.28295340416388814,0.28274361263590986
2022-08-09,44190697,526826,0,43663871,16047.0,54.0,0.0,16054.0,16264.42857142857,1.1921649482016543,0.0,98.80783505179835,0.28037442136028545,0.28105719265047696
2022-08-10,44206996,526879,0,43680117,16299.0,53.0,0.0,15393.57142857143,15650.857142857143,1.191845290731811,0.0,98.8081547092682,0.27209585438912054,0.278423423274275
2022-08-11,44223557,526928,0,43696629,16561.0,49.0,0.0,17524.571428571428,15130.5,1.1915097648070236,0.0,98.80849023519298,0.26292301451622535,0.27445238346379053
2022-08-12,44239372,526996,0,43712376,15815.0,68.0,0.0,14723.0,14787.857142857143,1.1912375248003069,0.0,98.8087624751997,0.2546695113653019,0.2696468584202932
2022-08-13,44253464,527037,0,43726427,14092.0,41.0,0.0,13651.285714285714,14349.714285714286,1.190950837204518,0.0,98.80904916279547,0.2440894085538492,0.26365919602646354
2022-08-14,44268381,527069,0,43741312,14917.0,32.0,0.0,13124.0,13837.142857142857,1.1906218119881096,0.0,98.80937818801189,0.27787978215505493,0.2678550566433894
2022-08-15,44277711,527098,0,43750613,9330.0,29.0,0.0,13008.714285714286,14517.92857142857,1.190436425225324,0.0,98.80956357477467,0.2333034896711217,0.2607622117158513
2022-08-16,44286256,527134,0,43759122,8545.0,36.0,0.0,12645.42857142857,13064.0,1.1902880207349205,0.0,98.80971197926507,0.21624234621147043,0.251600486694592
2022-08-17,44298864,527206,0,43771658,12608.0,72.0,0.0,12280.714285714286,12678.42857142857,1.190111782550451,0.0,98.80988821744955,0.20781326105034914,0.24241725907476752
2022-08-18,44314618,527253,0,43787365,15754.0,47.0,0.0,11511.285714285714,12280.285714285714,1.1897947535054911,0.0,98.8102052464945,0.20591061908474817,0.23427263115598507
2022-08-19,44327890,527289,0,43800601,13272.0,36.0,0.0,11405.0,11829.92857142857,1.189519735769061,0.0,98.81048026423093,0.20008873543684302,0.2264753774519195
2022-08-20,44339429,527332,0,43812097,11539.0,43.0,0.0,11705.57142857143,11380.285714285714,1.1893071514294873,0.0,98.81069284857051,0.1942559795997001,0.21935631617275536
2022-08-21,44348960,527368,0,43821592,9531.0,36.0,0.0,11436.57142857143,11047.714285714286,1.189132732763068,0.0,98.81086726723693,0.1820238241827754,0.20566260789100113
2022-08-22,44357546,527416,0,43830130,8586.0,48.0,0.0,10651.142857142857,10524.42857142857,1.1890107716959815,0.0,98.81098922830401,0.18030516527829388,0.19809141869202573
2022-08-23,44368195,527452,0,43840743,10649.0,36.0,0.0,10115.142857142857,9858.0,1.1888065313452576,0.0,98.81119346865475,0.18502128515898164,0.19363126711309878
2022-08-24,44378920,527488,0,43851432,10725.0,36.0,0.0,9814.714285714286,9247.642857142857,1.1886003535011669,0.0,98.81139964649883,0.1807179524964786,0.18976050874826011
2022-08-25,44389176,527556,0,43861620,10256.0,68.0,0.0,9537.57142857143,9819.642857142857,1.1884789210775168,0.0,98.81152107892248,0.16824696536930084,0.1843799867889105
2022-08-26,44398696,527597,0,43871099,9520.0,41.0,0.0,8311.0,9134.92857142857,1.1883164316357397,0.0,98.81168356836426,0.1597323942104989,0.17861479518514706
2022-08-27,44408132,527754,0,43880378,9436.0,157.0,0.0,6789.714285714285,8702.57142857143,1.1884174727277428,0.0,98.81158252727225,0.15494786818297523,0.1729993506970435
2022-08-28,44415723,527799,0,43887924,7591.0,45.0,0.0,8202.714285714286,8364.714285714286,1.1883156782115198,0.0,98.81168432178849,0.15054017050231128,0.16850168588554862
2022-08-29,44415723,527799,0,43887924,0.0,0.0,0.0,7618.714285714285,8106.071428571428,1.1883156782115198,0.0,98.81168432178849,0.13115468560862542,0.1614801887898817
2022-08-30,44415723,527799,0,43887924,0.0,0.0,0.0,7290.0,7808.285714285715,1.1883156782115198,0.0,98.81168432178849,0.10712177946388124,0.15035168797629592
2022-08-31,44436339,527911,0,43908428,20616.0,112.0,0.0,6914.714285714285,7247.571428571428,1.1880164115230105,0.0,98.81198358847699,0.12938350009419342,0.14301819477596947
2022-09-01,44442507,527932,0,43914575,6168.0,21.0,0.0,6674.571428571428,7122.571428571428,1.1878987834777188,0.0,98.81210121652228,0.12014415406134127,0.1361463645891181
2022-09-02,44449726,527965,0,43921761,7219.0,33.0,0.0,7305.571428571428,6825.214285714285,1.1877801001517985,0.0,98.8122198998482,0.11493580802464098,0.1297468522768527
2022-09-03,44456535,527991,0,43928544,6809.0,26.0,0.0,7705.428571428572,6541.928571428572,1.1876566628505798,0.0,98.81234333714943,0.10899580284080557,0.12318227151368559
2022-09-04,44462445,528007,0,43934438,5910.0,16.0,0.0,6042.428571428572,6230.5,1.18753478356847,0.0,98.81246521643153,0.10519247879856586,0.11670402984172197
2022-09-05,44466862,528030,0,43938832,4417.0,23.0,0.0,6031.714285714285,6061.214285714285,1.1874685468023356,0.0,98.81253145319766,0.1151371553717695,0.11441581123645683
2022-09-06,44469661,528057,0,43941604,2799.0,27.0,0.0,5793.857142857143,6188.571428571428,1.1874545209598066,0.0,98.8125454790402,0.12143897781422552,0.11646112528650601
2022-09-07,44478636,528090,0,43950546,8975.0,33.0,0.0,5546.285714285715,6738.142857142857,1.1872891066173883,0.0,98.81271089338262,0.09518560923751362,0.11157571230698034
2022-09-08,44484729,528121,0,43956608,6093.0,31.0,0.0,5447.857142857143,5724.285714285715,1.187196172421327,0.0,98.81280382757868,0.09500364144623408,0.10798421050482217
2022-09-09,44490283,528139,0,43962144,5554.0,18.0,0.0,5071.571428571428,5733.571428571428,1.1870884255782324,0.0,98.81291157442178,0.09124240720854715,0.1045994389596659
2022-09-10,44495359,528150,0,43967209,5076.0,11.0,0.0,5770.857142857143,5628.428571428572,1.18697772502521,0.0,98.8130222749748,0.0873302428990419,0.10150435896798538
2022-09-11,44500580,528165,0,43972415,5221.0,15.0,0.0,5406.142857142857,5546.642857142857,1.1868721711042867,0.0,98.8131278288957,0.08576901247783209,0.0987295780650234
2022-09-12,44502363,528185,0,43974178,1783.0,20.0,0.0,5435.428571428572,5471.5,1.186869560162457,0.0,98.81313043983754,0.07983698062614675,0.09368669595850587
2022-09-13,44510057,528216,0,43981841,7694.0,31.0,0.0,5463.0,5444.785714285715,1.1867340452967743,0.0,98.81326595470323,0.09083946018837441,0.08931533629767
2022-09-14,44516479,528250,0,43988229,6422.0,34.0,0.0,5547.0,5382.142857142857,1.1866392218486101,0.0,98.81336077815139,0.08508129610809156,0.08787186299346685
2022-09-15,44522777,528273,0,43994504,6298.0,23.0,0.0,5495.142857142857,5314.714285714285,1.1865230239344684,0.0,98.81347697606553,0.08553047496366872,0.08651855349595751
2022-09-16,44528524,528302,0,44000222,5747.0,29.0,0.0,5818.0,5264.0,1.1864350141046671,0.0,98.81356498589533,0.08595360025018817,0.08576300964476337
2022-09-17,44534188,528337,0,44005851,5664.0,35.0,0.0,4993.428571428572,5218.142857142857,1.186362710823424,0.0,98.81363728917658,0.0872652808577179,0.08575372935314565
2022-09-18,44539046,528355,0,44010691,4858.0,18.0,0.0,5223.285714285715,5196.785714285715,1.1862737248570614,0.0,98.81372627514294,0.08643932281331423,0.08584948797250025
2022-09-19,44543089,528370,0,44014719,4043.0,15.0,0.0,5092.571428571428,5118.785714285715,1.1861997267409992,0.0,98.813800273259,0.09151424161453203,0.08751766811369814
2022-09-20,44545011,528403,0,44016608,1922.0,33.0,0.0,4973.285714285715,5222.142857142857,1.1862226277146952,0.0,98.8137773722853,0.07853056669866465,0.08575925475802533
2022-09-21,44553042,528429,0,44024613,8031.0,26.0,0.0,4846.571428571428,4930.785714285715,1.1860671601279211,0.0,98.81393283987208,0.08213362966105198,0.08533815955130539
2022-09-22,44558425,528449,0,44029976,5383.0,20.0,0.0,4742.428571428572,4777.214285714285,1.1859687589945112,0.0,98.81403124100548,0.08006688351895885,0.0845576464877754
2022-09-23,44563337,528487,0,44034850,4912.0,38.0,0.0,4626.285714285715,4609.285714285715,1.1859233073142617,0.0,98.81407669268573,0.07818134730896986,0.08344732463902993
